,discount_offer,more_details,vendor_image,vendor_name
0,10%,https://allied-web.peekaboo.guru/mirpurkhas/detail/1035/bata?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/batanewlogo_7f8e1052-f0d1-4792-9d5e-be31f951f1c9-429.jpeg,Bata
1,8%,https://allied-web.peekaboo.guru/mirpurkhas/detail/1543/daraz?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/Logo_22be5f28-d9d4-427d-947e-3c5569a465c6-230.jpeg,Daraz
2,"Up to

25%",https://allied-web.peekaboo.guru/mirpurkhas/detail/306/dr-essa-laboratory--diagnostic-centre?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/essalabnewlogo2_b5d23429-fb91-41da-95e6-b3ac6ed6c22b-714.jpeg,Dr Essa Laboratory & Diagnostic Centre
3,"Up to

14%",https://allied-web.peekaboo.guru/mirpurkhas/detail/27197/healthwire?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/healthwirelogo_68e2d73f-5c9c-4ab1-88d9-d313821568cb-25.jpeg,Healthwire
4,15%,https://allied-web.peekaboo.guru/mirpurkhas/detail/13886/laptab?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/2f8a6a08-4713-4605-85c5-df13fd91fa37-753.jpeg,Laptab
5,"Up to

25%",https://allied-web.peekaboo.guru/mirpurkhas/detail/264/liberty-books?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/libertybookslogo_d9ffd572-e400-4c57-bab2-a66ef2827dd5-2.jpeg,Liberty Books
6,"Flat

15%",https://allied-web.peekaboo.guru/mirpurkhas/detail/914/metro-shoes?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/509708b3-ffff-407d-afeb-d25f8a2e97a9-597.jpg,Metro Shoes
7,"Up to

20%",https://allied-web.peekaboo.guru/mirpurkhas/detail/16587/the-cress?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/thecressjlogo_3eb2b84f-d444-433d-9df1-58832b06e0b3-493.jpeg,The Cress
8,"Up to

25%",https://allied-web.peekaboo.guru/mirpurkhas/detail/12992/toyzonepk?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/toyzone_6c5fe9ca-280c-42e9-b7d5-6cb697f1e929-999.jpeg,ToyZone.Pk
