,card_detail,category,city,discount,max_discount_cap,title
197,Alfalah Premier VISA Platinum Credit Card,Fashion,"Nationwide, Islamabad, Rawalpindi",up to 10%,N/A,Atalian Shoes
198,Alfalah Premier VISA Signature Debit Card,Fashion,"Nationwide, Islamabad, Rawalpindi",up to 10%,N/A,Atalian Shoes
199,Alfalah Ultra Cashback Card,Fashion,"Nationwide, Islamabad, Rawalpindi",up to 10%,N/A,Atalian Shoes
200,Alfalah Visa Classic Credit Card,Fashion,"Nationwide, Islamabad, Rawalpindi",up to 10%,N/A,Atalian Shoes
201,Alfalah Visa Gold Credit Card,Fashion,"Nationwide, Islamabad, Rawalpindi",up to 10%,N/A,Atalian Shoes
202,Alfalah Visa Platinum Credit Card,Fashion,"Nationwide, Islamabad, Rawalpindi",up to 10%,N/A,Atalian Shoes
203,Alfalah Visa Signature Debit Card,Fashion,"Nationwide, Islamabad, Rawalpindi",up to 10%,N/A,Atalian Shoes
204,Bank Alfalah Debit Cards,Fashion,"Nationwide, Islamabad, Rawalpindi",up to 10%,N/A,Atalian Shoes
205,Bank Alfalah Mastercard Optimus Credit Card,Health,Nationwide,20% on Doctor services,N/A,N/A
206,Alfalah American Express Card,Health,Nationwide,20% on Doctor services,N/A,N/A
207,Alfalah Mastercard Titanium Credit Card,Health,Nationwide,20% on Doctor services,N/A,N/A
208,Alfalah Premier VISA Platinum Credit Card,Health,Nationwide,20% on Doctor services,N/A,N/A
209,Alfalah Premier VISA Signature Debit Card,Health,Nationwide,20% on Doctor services,N/A,N/A
210,Alfalah Ultra Cashback Card,Health,Nationwide,20% on Doctor services,N/A,N/A
211,Alfalah Visa Classic Credit Card,Health,Nationwide,20% on Doctor services,N/A,N/A
212,Alfalah Visa Gold Credit Card,Health,Nationwide,20% on Doctor services,N/A,N/A
213,Alfalah Visa Platinum Credit Card,Health,Nationwide,20% on Doctor services,N/A,N/A
214,Alfalah Visa Signature Debit Card,Health,Nationwide,20% on Doctor services,N/A,N/A
215,Bank Alfalah Debit Cards,Health,Nationwide,20% on Doctor services,N/A,N/A
216,Bank Alfalah Mastercard Optimus Credit Card,Lifestyle,Rawalpindi,10%,N/A,All Items
217,Alfalah Premier VISA Signature Debit Card,Lifestyle,Rawalpindi,10%,N/A,All Items
218,Alfalah Visa Signature Debit Card,Lifestyle,Rawalpindi,10%,N/A,All Items
219,Bank Alfalah Debit Cards,Lifestyle,Rawalpindi,10%,N/A,All Items
220,Bank Alfalah Debit Cards,Other,Lahore,5%,N/A,N/A
221,Bank Alfalah Mastercard Optimus Credit Card,Dining,Karachi,15%,N/A,N/A
222,Alfalah American Express Card,Dining,Karachi,15%,N/A,N/A
223,Alfalah Mastercard Titanium Credit Card,Dining,Karachi,15%,N/A,N/A
224,Alfalah Premier VISA Platinum Credit Card,Dining,Karachi,20%,N/A,N/A
225,Alfalah Premier VISA Signature Debit Card,Dining,Karachi,20%,N/A,N/A
226,Alfalah Ultra Cashback Card,Dining,Karachi,15%,N/A,N/A
227,Alfalah Visa Classic Credit Card,Dining,Karachi,15%,N/A,N/A
228,Alfalah Visa Gold Credit Card,Dining,Karachi,15%,N/A,N/A
229,Alfalah Visa Platinum Credit Card,Dining,Karachi,20%,N/A,N/A
230,Alfalah Visa Signature Debit Card,Dining,Karachi,20%,N/A,N/A
231,Bank Alfalah Mastercard Optimus Credit Card,Lifestyle,"Lahore, Karachi",Up to 10%,N/A,B&O Play
232,Alfalah American Express Card,Lifestyle,"Lahore, Karachi",Up to 10%,N/A,B&O Play
