,card_detail,category,city,discount,max_discount_cap,title
497,Alfalah Visa Classic Credit Card,Dining,Rawalpindi,20%,N/A,"Café Trieste, Bahria Town"
498,Alfalah Visa Gold Credit Card,Dining,Rawalpindi,20%,N/A,"Café Trieste, Bahria Town"
499,Alfalah Visa Platinum Credit Card,Dining,Rawalpindi,20%,N/A,"Café Trieste, Bahria Town"
500,Alfalah Visa Signature Debit Card,Dining,Rawalpindi,20%,N/A,"Café Trieste, Bahria Town"
501,Bank Alfalah Debit Cards,Dining,Rawalpindi,20%,N/A,"Café Trieste, Bahria Town"
502,Bank Alfalah Islamic Premier Signature Debit Card,Dining,Karachi,20%,N/A,N/A
503,Bank Alfalah Islamic Signature Debit,Dining,Karachi,15%,N/A,N/A
504,Bank Alfalah Premier VISA Platinum Credit Card,Dining,Karachi,20%,N/A,N/A
505,Bank Alfalah Premier VISA Signature Debit Card,Dining,Karachi,20%,N/A,N/A
506,Bank Alfalah Visa Platinum Credit Card,Dining,Karachi,15%,N/A,N/A
507,Bank Alfalah Visa Signature Debit Card,Dining,Karachi,15%,N/A,N/A
508,Bank Alfalah Mastercard Optimus Credit Card,Dining,Karachi,20%,Maximum Discount Cap: Rs 5000,Cake Shop – Movenpick
509,Alfalah Mastercard Titanium Credit Card,Dining,Karachi,20%,Maximum Discount Cap: Rs 5000,Cake Shop – Movenpick
510,Alfalah Premier VISA Platinum Credit Card,Dining,Karachi,20%,Maximum Discount Cap: Rs 5000,Cake Shop – Movenpick
511,Alfalah Premier VISA Signature Debit Card,Dining,Karachi,20%,Maximum Discount Cap: Rs 5000,Cake Shop – Movenpick
512,Alfalah Visa Gold Credit Card,Dining,Karachi,20%,Maximum Discount Cap: Rs 5000,Cake Shop – Movenpick
513,Alfalah Visa Platinum Credit Card,Dining,Karachi,20%,Maximum Discount Cap: Rs 5000,Cake Shop – Movenpick
514,Alfalah Premier VISA Signature Debit Card,Dining,Multan,10%,All Items,N/A
515,Alfalah Visa Signature Debit Card,Dining,Multan,10%,All Items,N/A
516,Bank Alfalah Debit Cards,Dining,Multan,10%,All Items,N/A
517,Bank Alfalah Mastercard Optimus Credit Card,Dining,Karachi,15%,Maximum Discount Cap: PKR 5000,Casbah – Beach Luxury
518,Alfalah Premier VISA Platinum Credit Card,Dining,Karachi,15%,Maximum Discount Cap: PKR 5000,Casbah – Beach Luxury
519,Alfalah Visa Platinum Credit Card,Dining,Karachi,15%,Maximum Discount Cap: PKR 5000,Casbah – Beach Luxury
520,Alfalah Premier VISA Signature Debit Card,Dining,Karachi,15%,Maximum Discount Cap: PKR 5000,Casbah – Beach Luxury
521,Alfalah Visa Signature Debit Card,Dining,Karachi,15%,Maximum Discount Cap: PKR 5000,Casbah – Beach Luxury
522,Bank Alfalah Premier VISA Platinum Credit Card,Dining,Peshawar,15%,N/A,N/A
523,Bank Alfalah Premier VISA Signature Debit Card,Dining,Peshawar,15%,N/A,N/A
524,Bank Alfalah Visa Signature Debit Card,Dining,Peshawar,15%,N/A,N/A
525,Bank Alfalah Visa Platinum Credit Card,Dining,Peshawar,15%,N/A,N/A
526,Bank Alfalah American Express Card,Dining,Peshawar,15%,N/A,N/A
527,Bank Alfalah Mastercard Optimus Credit Card,Dining,Peshawar,10%,N/A,N/A
528,Bank Alfalah Visa Gold Credit Card,Dining,Peshawar,10%,N/A,N/A
529,Bank Alfalah Visa Classic Credit Card,Dining,Peshawar,10%,N/A,N/A
530,Bank Alfalah Debit Cards,Dining,Peshawar,10%,N/A,N/A
531,Bank Alfalah Mastercard Optimus Credit Card,Dining,Karachi,15%,Up to Rs.5000,N/A
532,Alfalah American Express Card,Dining,Karachi,15%,Up to Rs.5000,N/A
533,Alfalah Mastercard Titanium Credit Card,Dining,Karachi,15%,Up to Rs.5000,N/A
534,Alfalah Premier VISA Platinum Credit Card,Dining,Karachi,20%,Up to Rs.5000,N/A
535,Alfalah Premier VISA Signature Debit Card,Dining,Karachi,20%,Up to Rs.5000,N/A
536,Alfalah Visa Gold Credit Card,Dining,Karachi,15%,Up to Rs.5000,N/A
537,Alfalah Visa Platinum Credit Card,Dining,Karachi,15%,Up to Rs.5000,N/A
538,Alfalah Visa Signature Debit Card,Dining,Karachi,15%,Up to Rs.5000,N/A
539,Bank Alfalah Premier VISA Platinum Credit Card,Dining,Peshawar,15%,Discount on selected services,N/A
540,Bank Alfalah Premier VISA Signature Debit Card,Dining,Peshawar,15%,Discount on selected services,N/A
541,Bank Alfalah Visa Signature Debit Card,Dining,Peshawar,15%,Discount on selected services,N/A
542,Bank Alfalah Visa Platinum Credit Card,Dining,Peshawar,15%,Discount on selected services,N/A
543,Bank Alfalah American Express Card,Dining,Peshawar,15%,Discount on selected services,N/A
544,Bank Alfalah Mastercard Optimus Credit Card,Dining,Peshawar,10%,Discount on selected services,N/A
545,Bank Alfalah Visa Gold Credit Card,Dining,Peshawar,10%,Discount on selected services,N/A
546,Bank Alfalah Visa Classic Credit Card,Dining,Peshawar,10%,Discount on selected services,N/A
547,Bank Alfalah Debit Cards,Dining,Peshawar,10%,Discount on selected services,N/A
548,Bank Alfalah Premier VISA Platinum Credit Card,Dining,Rawalpindi,20%,N/A,"up to 20% off

01-07-2022 to 31-12-2023"
549,Bank Alfalah Premier VISA Signature Debit Card,Dining,Rawalpindi,20%,N/A,"up to 20% off

01-07-2022 to 31-12-2023"
550,Bank Alfalah Visa Signature Debit Card,Dining,Rawalpindi,20%,N/A,"up to 20% off

01-07-2022 to 31-12-2023"
551,Bank Alfalah Visa Platinum Credit Card,Dining,Rawalpindi,20%,N/A,"up to 20% off

01-07-2022 to 31-12-2023"
552,Bank Alfalah American Express Card,Dining,Rawalpindi,20%,N/A,"up to 20% off

01-07-2022 to 31-12-2023"
553,Bank Alfalah Mastercard Optimus Credit Card,Dining,Rawalpindi,20%,N/A,"up to 20% off

01-07-2022 to 31-12-2023"
554,Bank Alfalah Visa Gold Credit Card,Dining,Rawalpindi,20%,N/A,"up to 20% off

01-07-2022 to 31-12-2023"
555,Bank Alfalah Mastercard Titanium Credit Card,Dining,Rawalpindi,20%,N/A,"up to 20% off

01-07-2022 to 31-12-2023"
556,Bank Alfalah Ultra Cashback Card,Dining,Rawalpindi,20%,N/A,"up to 20% off

01-07-2022 to 31-12-2023"
557,Bank Alfalah Visa Classic Credit Card,Dining,Rawalpindi,20%,N/A,"up to 20% off

01-07-2022 to 31-12-2023"
558,Bank Alfalah Debit Cards,Dining,Rawalpindi,20%,N/A,"up to 20% off

01-07-2022 to 31-12-2023"
559,Bank Alfalah Pehchaan Account for Women,Dining,Rawalpindi,20%,N/A,"up to 20% off

01-07-2022 to 31-12-2023"
560,Bank Alfalah Islamic Gold and Classic Debit Card,Dining,Rawalpindi,20%,N/A,"up to 20% off

01-07-2022 to 31-12-2023"
561,Bank Alfalah Islamic Premier Signature Debit Card,Dining,Rawalpindi,20%,N/A,"up to 20% off

01-07-2022 to 31-12-2023"
562,Bank Alfalah Islamic Signature Debit Card,Dining,Rawalpindi,20%,N/A,"up to 20% off

01-07-2022 to 31-12-2023"
563,Bank Alfalah Islamic Powerpack Debit Card,Dining,Rawalpindi,20%,N/A,"up to 20% off

01-07-2022 to 31-12-2023"
564,Bank Alfalah Premier VISA Platinum Credit Card,Dining,Abbottabad,15%,N/A,N/A
565,Bank Alfalah Premier VISA Signature Debit Card,Dining,Abbottabad,15%,N/A,N/A
566,Bank Alfalah Visa Signature Debit Card,Dining,Abbottabad,15%,N/A,N/A
567,Bank Alfalah Visa Platinum Credit Card,Dining,Abbottabad,15%,N/A,N/A
568,Bank Alfalah American Express Card,Dining,Abbottabad,15%,N/A,N/A
569,Bank Alfalah Mastercard Optimus Credit Card,Dining,Abbottabad,15%,N/A,N/A
570,Bank Alfalah Visa Gold Credit Card,Dining,Abbottabad,15%,N/A,N/A
571,Bank Alfalah Mastercard Titanium Credit Card,Dining,Abbottabad,15%,N/A,N/A
572,Bank Alfalah Ultra Cashback Card,Dining,Abbottabad,15%,N/A,N/A
573,Bank Alfalah Visa Classic Credit Card,Dining,Abbottabad,15%,N/A,N/A
574,Bank Alfalah Debit Cards,Dining,Abbottabad,15%,N/A,N/A
575,Bank Alfalah Pehchaan Account for Women,Dining,Abbottabad,15%,N/A,N/A
576,Bank Alfalah Islamic Gold and Classic Debit Card,Dining,Abbottabad,15%,N/A,N/A
577,Bank Alfalah Islamic Premier Signature Debit Card,Dining,Abbottabad,15%,N/A,N/A
578,Bank Alfalah Islamic Signature Debit Card,Dining,Abbottabad,15%,N/A,N/A
579,Bank Alfalah Islamic Powerpack Debit Card,Dining,Abbottabad,15%,N/A,N/A
580,Bank Alfalah Mastercard Optimus Credit Card,Dining,Karachi,30%,Maximum Discount Cap: Rs 5000,Charcoal Grill
581,Alfalah Premier VISA Platinum Credit Card,Dining,Karachi,30%,Maximum Discount Cap: Rs 5000,Charcoal Grill
582,Alfalah Visa Platinum Credit Card,Dining,Karachi,30%,Maximum Discount Cap: Rs 5000,Charcoal Grill
583,Alfalah Premier VISA Signature Debit Card,Dining,Karachi,30%,Maximum Discount Cap: Rs 5000,Charcoal Grill
584,Alfalah Visa Signature Debit Card,Dining,Karachi,30%,Maximum Discount Cap: Rs 5000,Charcoal Grill
585,Bank Alfalah Premier VISA Platinum Credit Card,Dining,"Lahore, Islamabad, Rawalpindi, Multan",20%,N/A,Chashni
586,Bank Alfalah Premier VISA Signature Debit Card,Dining,"Lahore, Islamabad, Rawalpindi, Multan",20%,N/A,Chashni
587,Bank Alfalah Visa Signature Debit Card,Dining,"Lahore, Islamabad, Rawalpindi, Multan",15%,N/A,Chashni
588,Bank Alfalah Visa Platinum Credit Card,Dining,"Lahore, Islamabad, Rawalpindi, Multan",15%,N/A,Chashni
589,Bank Alfalah Islamic Premier Signature Debit Card,Dining,"Lahore, Islamabad, Rawalpindi, Multan",20%,N/A,Chashni
590,Bank Alfalah Islamic Signature Debit Card,Dining,"Lahore, Islamabad, Rawalpindi, Multan",15%,N/A,Chashni
591,Bank Alfalah Mastercard Optimus Credit Card,Dining,Karachi,15%,Up to Rs.5000,N/A
592,Bank Alfalah Mastercard Optimus Credit Card,Dining,Islamabad,15%,N/A,Chicago grill
593,Alfalah Premier VISA Platinum Credit Card,Dining,Islamabad,20%,N/A,Chicago grill
594,Alfalah Visa Platinum Credit Card,Dining,Islamabad,20%,N/A,Chicago grill
595,Alfalah Visa Gold Debit Card,Dining,Islamabad,15%,N/A,Chicago grill
596,Alfalah Mastercard Titanium Credit Card,Dining,Islamabad,15%,N/A,Chicago grill
597,Alfalah Visa Classic Credit Card,Dining,Islamabad,10%,N/A,Chicago grill
598,Alfalah Ultra Cashback Card,Dining,Islamabad,10%,N/A,Chicago grill
599,Alfalah Premier VISA Signature Debit Card,Dining,Islamabad,10%,N/A,Chicago grill
600,Alfalah Visa Signature Debit Card,Dining,Islamabad,10%,N/A,Chicago grill
601,Bank Alfalah Debit Cards,Dining,Islamabad,10%,N/A,Chicago grill
602,Bank Alfalah Mastercard Optimus Credit Card,Dining,Islamabad,15%,N/A,Chicago Grill
603,Alfalah American Express Card,Dining,Islamabad,20%,N/A,Chicago Grill
604,Alfalah Mastercard Titanium Credit Card,Dining,Islamabad,15%,N/A,Chicago Grill
605,Alfalah Premier VISA Platinum Credit Card,Dining,Islamabad,15%,N/A,Chicago Grill
606,Alfalah Premier VISA Signature Debit Card,Dining,Islamabad,15%,N/A,Chicago Grill
607,Alfalah Ultra Cashback Card,Dining,Islamabad,15%,N/A,Chicago Grill
608,Alfalah Visa Classic Credit Card,Dining,Islamabad,15%,N/A,Chicago Grill
609,Alfalah Visa Gold Credit Card,Dining,Islamabad,15%,N/A,Chicago Grill
610,Alfalah Visa Platinum Credit Card,Dining,Islamabad,15%,N/A,Chicago Grill
611,Alfalah Visa Signature Debit Card,Dining,Islamabad,15%,N/A,Chicago Grill
612,Bank Alfalah Debit Cards,Dining,Islamabad,15%,N/A,Chicago Grill
613,Bank Alfalah Premier VISA Platinum Credit Card,Dining,Abbottabad,10%,N/A,Chicken Broast
614,Bank Alfalah Premier VISA Signature Debit Card,Dining,Abbottabad,10%,N/A,Chicken Broast
615,Bank Alfalah Visa Signature Debit Card,Dining,Abbottabad,10%,N/A,Chicken Broast
616,Bank Alfalah Visa Platinum Credit Card,Dining,Abbottabad,10%,N/A,Chicken Broast
617,Bank Alfalah American Express Card,Dining,Abbottabad,10%,N/A,Chicken Broast
618,Bank Alfalah Mastercard Optimus Credit Card,Dining,Abbottabad,10%,N/A,Chicken Broast
619,Bank Alfalah Visa Gold Credit Card,Dining,Abbottabad,10%,N/A,Chicken Broast
620,Bank Alfalah Mastercard Titanium Credit Card,Dining,Abbottabad,10%,N/A,Chicken Broast
621,Bank Alfalah Ultra Cashback Card,Dining,Abbottabad,10%,N/A,Chicken Broast
622,Bank Alfalah Visa Classic Credit Card,Dining,Abbottabad,10%,N/A,Chicken Broast
623,Bank Alfalah Debit Cards,Dining,Abbottabad,10%,N/A,Chicken Broast
624,Bank Alfalah Pehchaan Account for Women,Dining,Abbottabad,10%,N/A,Chicken Broast
625,Bank Alfalah Islamic Gold and Classic Debit Card,Dining,Abbottabad,10%,N/A,Chicken Broast
626,Bank Alfalah Islamic Premier Signature Debit Card,Dining,Abbottabad,10%,N/A,Chicken Broast
627,Bank Alfalah Islamic Signature Debit Card,Dining,Abbottabad,10%,N/A,Chicken Broast
628,Bank Alfalah Islamic Powerpack Debit Card,Dining,Abbottabad,10%,N/A,Chicken Broast
629,Bank Alfalah Premier VISA Platinum Credit Card,Dining,"Multan, Gujranwala",15%,N/A,N/A
630,Bank Alfalah Premier VISA Signature Debit Card,Dining,"Multan, Gujranwala",15%,N/A,N/A
631,Bank Alfalah Visa Signature Debit Card,Dining,"Multan, Gujranwala",15%,N/A,N/A
632,Bank Alfalah Visa Platinum Credit Card,Dining,"Multan, Gujranwala",15%,N/A,N/A
633,Bank Alfalah American Express Card,Dining,"Multan, Gujranwala",15%,N/A,N/A
634,Bank Alfalah Mastercard Optimus Credit Card,Dining,"Multan, Gujranwala",10%,N/A,N/A
635,Bank Alfalah Visa Gold Credit Card,Dining,"Multan, Gujranwala",10%,N/A,N/A
636,Bank Alfalah Visa Classic Credit Card,Dining,"Multan, Gujranwala",10%,N/A,N/A
637,Bank Alfalah Debit Cards,Dining,"Multan, Gujranwala",10%,N/A,N/A
638,Bank Alfalah Mastercard Optimus Credit Card,Dining,Islamabad,15%,PKR 5000,China Town (F-8/4/6)
639,Alfalah Premier VISA Platinum Credit Card,Dining,Islamabad,20%,PKR 5000,China Town (F-8/4/6)
640,Alfalah Visa Platinum Credit Card,Dining,Islamabad,20%,PKR 5000,China Town (F-8/4/6)
641,Alfalah Visa Gold Debit Card,Dining,Islamabad,15%,PKR 5000,China Town (F-8/4/6)
642,Alfalah Mastercard Titanium Credit Card,Dining,Islamabad,15%,PKR 5000,China Town (F-8/4/6)
643,Alfalah Visa Classic Credit Card,Dining,Islamabad,10%,PKR 5000,China Town (F-8/4/6)
644,Alfalah Ultra Cashback Card,Dining,Islamabad,10%,PKR 5000,China Town (F-8/4/6)
645,Bank Alfalah Mastercard Optimus Credit Card,Other,Islamabad,20%,N/A,Chohan Eye Hospital
646,Alfalah American Express Card,Other,Islamabad,20%,N/A,Chohan Eye Hospital
647,Alfalah Mastercard Titanium Credit Card,Other,Islamabad,20%,N/A,Chohan Eye Hospital
648,Alfalah Premier VISA Platinum Credit Card,Other,Islamabad,20%,N/A,Chohan Eye Hospital
649,Alfalah Premier VISA Signature Debit Card,Other,Islamabad,20%,N/A,Chohan Eye Hospital
650,Alfalah Ultra Cashback Card,Other,Islamabad,20%,N/A,Chohan Eye Hospital
651,Alfalah Visa Classic Credit Card,Other,Islamabad,20%,N/A,Chohan Eye Hospital
652,Alfalah Visa Gold Credit Card,Other,Islamabad,20%,N/A,Chohan Eye Hospital
653,Alfalah Visa Platinum Credit Card,Other,Islamabad,20%,N/A,Chohan Eye Hospital
654,Alfalah Visa Signature Debit Card,Other,Islamabad,20%,N/A,Chohan Eye Hospital
655,Bank Alfalah Debit Cards,Other,Islamabad,20%,N/A,Chohan Eye Hospital
656,Bank Alfalah Mastercard Optimus Credit Card,Dining,"Lahore, Karachi, Islamabad",15%,"15% discount should not be more than Rs3000, 20% should not exceed more than Rs5,000.",N/A
657,Alfalah American Express Card,Dining,"Lahore, Karachi, Islamabad",15%,"15% discount should not be more than Rs3000, 20% should not exceed more than Rs5,000.",N/A
658,Alfalah Mastercard Titanium Credit Card,Dining,"Lahore, Karachi, Islamabad",15%,"15% discount should not be more than Rs3000, 20% should not exceed more than Rs5,000.",N/A
659,Alfalah Premier VISA Platinum Credit Card,Dining,"Lahore, Karachi, Islamabad",20%,"15% discount should not be more than Rs3000, 20% should not exceed more than Rs5,000.",N/A
660,Alfalah Premier VISA Signature Debit Card,Dining,"Lahore, Karachi, Islamabad",20%,"15% discount should not be more than Rs3000, 20% should not exceed more than Rs5,000.",N/A
661,Alfalah Visa Gold Credit Card,Dining,"Lahore, Karachi, Islamabad",15%,"15% discount should not be more than Rs3000, 20% should not exceed more than Rs5,000.",N/A
662,Alfalah Visa Platinum Credit Card,Dining,"Lahore, Karachi, Islamabad",15%,"15% discount should not be more than Rs3000, 20% should not exceed more than Rs5,000.",N/A
663,Alfalah Visa Signature Debit Card,Dining,"Lahore, Karachi, Islamabad",15%,"15% discount should not be more than Rs3000, 20% should not exceed more than Rs5,000.",N/A
664,Bank Alfalah Islamic Gold and Classic Debit Card,Health,Nationwide,Upto 30% off,"30% off on Lipid Profile, HBA1C Test and Vitamin D test
  	25% off on Executive health Check up
 	10% off on other tests
	Valid on All Alfalah Cards",Chughtai Labs
665,Bank Alfalah American Express Card,Health,Nationwide,Upto 30% off,"30% off on Lipid Profile, HBA1C Test and Vitamin D test
  	25% off on Executive health Check up
 	10% off on other tests
	Valid on All Alfalah Cards",Chughtai Labs
666,Bank Alfalah Debit Cards,Health,Nationwide,Upto 30% off,"30% off on Lipid Profile, HBA1C Test and Vitamin D test
  	25% off on Executive health Check up
 	10% off on other tests
	Valid on All Alfalah Cards",Chughtai Labs
667,Bank Alfalah Islamic Premier Signature Debit Card,Health,Nationwide,Upto 30% off,"30% off on Lipid Profile, HBA1C Test and Vitamin D test
  	25% off on Executive health Check up
 	10% off on other tests
	Valid on All Alfalah Cards",Chughtai Labs
668,Bank Alfalah Islamic Signature Debit,Health,Nationwide,Upto 30% off,"30% off on Lipid Profile, HBA1C Test and Vitamin D test
  	25% off on Executive health Check up
 	10% off on other tests
	Valid on All Alfalah Cards",Chughtai Labs
669,Bank Alfalah Mastercard Optimus Credit Card,Health,Nationwide,Upto 30% off,"30% off on Lipid Profile, HBA1C Test and Vitamin D test
  	25% off on Executive health Check up
 	10% off on other tests
	Valid on All Alfalah Cards",Chughtai Labs
670,Bank Alfalah Mastercard Titanium Credit Card,Health,Nationwide,Upto 30% off,"30% off on Lipid Profile, HBA1C Test and Vitamin D test
  	25% off on Executive health Check up
 	10% off on other tests
	Valid on All Alfalah Cards",Chughtai Labs
671,Bank Alfalah Pehchaan Account for Women,Health,Nationwide,Upto 30% off,"30% off on Lipid Profile, HBA1C Test and Vitamin D test
  	25% off on Executive health Check up
 	10% off on other tests
	Valid on All Alfalah Cards",Chughtai Labs
672,Bank Alfalah Premier VISA Platinum Credit Card,Health,Nationwide,Upto 30% off,"30% off on Lipid Profile, HBA1C Test and Vitamin D test
  	25% off on Executive health Check up
 	10% off on other tests
	Valid on All Alfalah Cards",Chughtai Labs
673,Bank Alfalah Premier VISA Signature Debit Card,Health,Nationwide,Upto 30% off,"30% off on Lipid Profile, HBA1C Test and Vitamin D test
  	25% off on Executive health Check up
 	10% off on other tests
	Valid on All Alfalah Cards",Chughtai Labs
674,Bank Alfalah Ultra Cashback Card,Health,Nationwide,Upto 30% off,"30% off on Lipid Profile, HBA1C Test and Vitamin D test
  	25% off on Executive health Check up
 	10% off on other tests
	Valid on All Alfalah Cards",Chughtai Labs
675,Bank Alfalah Visa Classic Credit Card,Health,Nationwide,Upto 30% off,"30% off on Lipid Profile, HBA1C Test and Vitamin D test
  	25% off on Executive health Check up
 	10% off on other tests
	Valid on All Alfalah Cards",Chughtai Labs
676,Bank Alfalah Visa Gold Credit Card,Health,Nationwide,Upto 30% off,"30% off on Lipid Profile, HBA1C Test and Vitamin D test
  	25% off on Executive health Check up
 	10% off on other tests
	Valid on All Alfalah Cards",Chughtai Labs
677,Bank Alfalah Visa Platinum Credit Card,Health,Nationwide,Upto 30% off,"30% off on Lipid Profile, HBA1C Test and Vitamin D test
  	25% off on Executive health Check up
 	10% off on other tests
	Valid on All Alfalah Cards",Chughtai Labs
678,Bank Alfalah Visa Signature Debit Card,Health,Nationwide,Upto 30% off,"30% off on Lipid Profile, HBA1C Test and Vitamin D test
  	25% off on Executive health Check up
 	10% off on other tests
	Valid on All Alfalah Cards",Chughtai Labs
679,Bank Alfalah Mastercard Optimus Credit Card,Dining,"Lahore, Karachi",15%,Maximum Discount Cap: Rs 5000,Cinnamon Lounge – Avari Tower
680,Alfalah Premier VISA Platinum Credit Card,Dining,"Lahore, Karachi",15%,Maximum Discount Cap: Rs 5000,Cinnamon Lounge – Avari Tower
681,Alfalah Visa Platinum Credit Card,Dining,"Lahore, Karachi",15%,Maximum Discount Cap: Rs 5000,Cinnamon Lounge – Avari Tower
682,Alfalah Premier VISA Signature Debit Card,Dining,"Lahore, Karachi",15%,Maximum Discount Cap: Rs 5000,Cinnamon Lounge – Avari Tower
683,Alfalah Visa Signature Debit Card,Dining,"Lahore, Karachi",15%,Maximum Discount Cap: Rs 5000,Cinnamon Lounge – Avari Tower
684,Bank Alfalah Mastercard Optimus Credit Card,Travel,"Lahore, Karachi, Islamabad",Free access to CIP International lounges.(Only Gold Credit Card),N/A,CIP Lounge
685,Alfalah Premier VISA Platinum Credit Card,Travel,"Lahore, Karachi, Islamabad",Free access to CIP International lounges.,N/A,CIP Lounge
686,Alfalah Visa Platinum Credit Card,Travel,"Lahore, Karachi, Islamabad",Free access to CIP International lounges.,N/A,CIP Lounge
687,Alfalah Visa Gold Debit Card,Travel,"Lahore, Karachi, Islamabad",Free access to CIP International lounges.,N/A,CIP Lounge
688,Alfalah Premier VISA Signature Debit Card,Travel,"Lahore, Karachi, Islamabad",Free access to CIP International lounges.,N/A,CIP Lounge
689,Bank Alfalah Mastercard Optimus Credit Card,Lifestyle,Nationwide,15%,N/A,Claire’s
690,Alfalah American Express Card,Lifestyle,Nationwide,15%,N/A,Claire’s
691,Alfalah Mastercard Titanium Credit Card,Lifestyle,Nationwide,15%,N/A,Claire’s
692,Alfalah Pehchaan Account for Women,Lifestyle,Nationwide,10%,N/A,Claire’s
693,Alfalah Premier VISA Platinum Credit Card,Lifestyle,Nationwide,15%,N/A,Claire’s
694,Alfalah Premier VISA Signature Debit Card,Lifestyle,Nationwide,15%,N/A,Claire’s
695,Alfalah Ultra Cashback Card,Lifestyle,Nationwide,15%,N/A,Claire’s
696,Alfalah Visa Classic Credit Card,Lifestyle,Nationwide,15%,N/A,Claire’s
697,Alfalah Visa Gold Credit Card,Lifestyle,Nationwide,15%,N/A,Claire’s
698,Alfalah Visa Platinum Credit Card,Lifestyle,Nationwide,15%,N/A,Claire’s
699,Alfalah Visa Signature Debit Card,Lifestyle,Nationwide,15%,N/A,Claire’s
700,Bank Alfalah Debit Cards,Lifestyle,Nationwide,10%,N/A,Claire’s
701,Bank Alfalah Mastercard Optimus Credit Card,Lifestyle,Lahore,15%,N/A,N/A
702,Alfalah American Express Card,Lifestyle,Lahore,15%,N/A,N/A
703,Alfalah Mastercard Titanium Credit Card,Lifestyle,Lahore,15%,N/A,N/A
704,Alfalah Premier VISA Platinum Credit Card,Lifestyle,Lahore,15%,N/A,N/A
705,Alfalah Premier VISA Signature Debit Card,Lifestyle,Lahore,15%,N/A,N/A
706,Alfalah Ultra Cashback Card,Lifestyle,Lahore,15%,N/A,N/A
707,Alfalah Visa Classic Credit Card,Lifestyle,Lahore,15%,N/A,N/A
708,Alfalah Visa Gold Credit Card,Lifestyle,Lahore,15%,N/A,N/A
709,Alfalah Visa Platinum Credit Card,Lifestyle,Lahore,15%,N/A,N/A
710,Alfalah Visa Signature Debit Card,Lifestyle,Lahore,15%,N/A,N/A
711,Bank Alfalah Debit Cards,Lifestyle,Lahore,15%,N/A,N/A
712,Bank Alfalah Premier VISA Platinum Credit Card,Dining,Peshawar,15%,N/A,N/A
713,Bank Alfalah Premier VISA Signature Debit Card,Dining,Peshawar,15%,N/A,N/A
714,Bank Alfalah Visa Signature Debit Card,Dining,Peshawar,15%,N/A,N/A
715,Bank Alfalah Visa Platinum Credit Card,Dining,Peshawar,15%,N/A,N/A
716,Bank Alfalah American Express Card,Dining,Peshawar,15%,N/A,N/A
717,Bank Alfalah Mastercard Optimus Credit Card,Dining,Peshawar,10%,N/A,N/A
718,Bank Alfalah Visa Gold Credit Card,Dining,Peshawar,10%,N/A,N/A
719,Bank Alfalah Visa Classic Credit Card,Dining,Peshawar,10%,N/A,N/A
720,Bank Alfalah Debit Cards,Dining,Peshawar,10%,N/A,N/A
721,Bank Alfalah Islamic Powerpack Debit Card,Dining,Karachi,15%,Maximum Discount Cap: Rs 5000 on Premier Cards.Rs 2500 on Signature and Platinum Cards,N/A
722,Bank Alfalah Islamic Premier Signature Debit Card,Dining,Karachi,20%,Maximum Discount Cap: Rs 5000 on Premier Cards.Rs 2500 on Signature and Platinum Cards,N/A
723,Bank Alfalah Islamic Signature Debit Card,Dining,Karachi,15%,Maximum Discount Cap: Rs 5000 on Premier Cards.Rs 2500 on Signature and Platinum Cards,N/A
724,Bank Alfalah Mastercard Optimus Credit Card,Dining,Karachi,15%,Maximum Discount Cap: Rs 5000 on Premier Cards.Rs 2500 on Signature and Platinum Cards,N/A
725,Bank Alfalah Premier VISA Platinum Credit Card,Dining,Karachi,20%,Maximum Discount Cap: Rs 5000 on Premier Cards.Rs 2500 on Signature and Platinum Cards,N/A
726,Bank Alfalah Premier VISA Signature Debit Card,Dining,Karachi,20%,Maximum Discount Cap: Rs 5000 on Premier Cards.Rs 2500 on Signature and Platinum Cards,N/A
727,Bank Alfalah Visa Platinum Credit Card,Dining,Karachi,15%,Maximum Discount Cap: Rs 5000 on Premier Cards.Rs 2500 on Signature and Platinum Cards,N/A
728,Bank Alfalah Visa Signature Debit Card,Dining,Karachi,15%,Maximum Discount Cap: Rs 5000 on Premier Cards.Rs 2500 on Signature and Platinum Cards,N/A
729,Bank Alfalah Mastercard Optimus Credit Card,Lifestyle,Karachi,15%,N/A,Companion
730,Alfalah American Express Card,Lifestyle,Karachi,15%,N/A,Companion
731,Alfalah Mastercard Titanium Credit Card,Lifestyle,Karachi,15%,N/A,Companion
732,Alfalah Premier VISA Platinum Credit Card,Lifestyle,Karachi,15%,N/A,Companion
733,Alfalah Premier VISA Signature Debit Card,Lifestyle,Karachi,15%,N/A,Companion
734,Alfalah Ultra Cashback Card,Lifestyle,Karachi,15%,N/A,Companion
735,Alfalah Visa Classic Credit Card,Lifestyle,Karachi,15%,N/A,Companion
736,Alfalah Visa Gold Credit Card,Lifestyle,Karachi,15%,N/A,Companion
737,Alfalah Visa Platinum Credit Card,Lifestyle,Karachi,15%,N/A,Companion
738,Alfalah Visa Signature Debit Card,Lifestyle,Karachi,15%,N/A,Companion
739,Bank Alfalah Debit Cards,Lifestyle,Karachi,15%,N/A,Companion
740,Bank Alfalah Premier VISA Platinum Credit Card,Dining,Lahore,40%,N/A,"40% Discount Cap: Rs.5,000,  20% discount Cap: Rs.2,500"
