dealId,keywords,title,startDate,endDate,poweredBy,percentageValue,targetEntityId,redeemableCount,orderType,expiresIn,image,description,targetBranches,onlineAvailable,likedByMe,dislikedByMe,targetEntityName,targetEntityLogo,isRedeemable,redeemedCount,redemptionDetails,likeCount,dislikeCount
91002,[''],UP TO 70% off,2023-01-11T11:12:00,2023-01-15T23:59:00,NONE,70,914,0,OUTLET,234588,https://d2liqplnt17rh6.cloudfront.net/dealImages/Deals5_679b5b56-730a-4d25-895b-d301bb66b68a-422.jpeg,"* Final Sale is Live Now
* Fill up your carts with favorite articles from Metro Shoes at upto 70% Off
* Visit your nearest outlet now or shop online 
* At https://www.metroshoes.com.pk/
* Terms & Conditions apply","{'3015': 'F-7 Markaz Islamabad Branch', '566240': 'F-10 Markaz Islamabad Branch', '687058': 'Ghori Town Islamabad Branch'}",True,false,false,Metro Shoes,https://d2liqplnt17rh6.cloudfront.net/logoImages/509708b3-ffff-407d-afeb-d25f8a2e97a9-597.jpg,False,0,"{'isRedeemable': False, 'redeemableCount': 0, 'redeemedCount': 0}",,
91000,['new-year'],FLAT 40% off,2023-01-11T11:07:00,2023-01-15T23:59:00,NONE,40,425,0,OUTLET,234588,https://d2liqplnt17rh6.cloudfront.net/dealImages/Deals4_a040c2d0-1748-4c14-a73a-cb013dc67d86-783.jpeg,"* Sifona's New Year Biggest Sale offers the most luxurious outfits with Flat 40% Off on all Stitched and Unstitched outfits. 
* Grab your favorites Now
* https://bit.ly/3DCoTfP
* Terms & Conditions apply",{},True,false,false,Sifona,https://d2liqplnt17rh6.cloudfront.net/logoImages/Logo_c0536cf3-b01d-4512-beda-92e64e9e9804-403.jpeg,False,0,"{'isRedeemable': False, 'redeemableCount': 0, 'redeemedCount': 0}",,
90999,[''],FLAT 50% off,2023-01-11T10:43:00,2023-01-15T23:59:00,NONE,50,137,0,OUTLET,234588,https://d2liqplnt17rh6.cloudfront.net/dealImages/Deals3_f1d661af-243a-46d6-8f3a-7f2dba57feeb-506.jpeg,"* Winter Sale Flat 50% Off 
* The wait is over! Winter's biggest sale is live now 
* Get an amazing discount on all winter collection 
* https://shahzebsaeed.com/
* Terms & Conditions apply",{},True,false,false,Shahzeb Saeed,https://d2liqplnt17rh6.cloudfront.net/logoImages/shahzebsaeedlogo_04dd99a3-0cab-4705-9987-217eaba29688-906.jpeg,False,0,"{'isRedeemable': False, 'redeemableCount': 0, 'redeemedCount': 0}",,
90995,[''],UP TO 50% off,2023-01-11T10:29:00,2023-01-29T23:59:00,NONE,50,541,0,OUTLET,234588,https://d2liqplnt17rh6.cloudfront.net/dealImages/Deals2_158464bd-6d70-40af-adac-74ade3d31c9f-479.jpeg,"* The most awaited J. Winter Clearance Sale is here! Enjoy up to 50% Off on all items
* In-Stores & Online. 
* https://bit.ly/3isx2es
* Terms & Conditions apply","{'1651': 'Madina Arcade Islamabad', '1677': 'F-6 Markaz, Islamabad Branch', '1678': 'College Rd Islamabad Branch', '1708': 'F-7 Markaz Islamabad Branch', '1719': 'F10 Markaz Islamabad Branch', '1728': 'Centaurus Mall Islamabad Branch', '101637': 'Giga Mall Islamabad Branch ', '401683': 'Centaurus Mall Islamabad Branch 2', '401684': 'Safa Gold Mall Islamabad Branch', '401685': 'Giga Mall Islamabad Branch 2'}",True,false,false,J. | Junaid Jamshed,https://d2liqplnt17rh6.cloudfront.net/logoImages/Logo_60f3e16d-49fb-467c-965c-a12a916d18cd-570.jpeg,False,0,"{'isRedeemable': False, 'redeemableCount': 0, 'redeemedCount': 0}",,
90992,[''],UP TO 50% off,2023-01-11T10:25:00,2023-01-15T23:59:00,NONE,50,788,0,OUTLET,234588,https://d2liqplnt17rh6.cloudfront.net/dealImages/Deals1_2e2beffa-20c5-48af-af1f-e62a001252cf-521.jpeg,"* Catch the latest winter trends and avail up to 50% Off from Almirah’s winter clearance sale now Live 
* In-stores and online
* Shop now: https://bit.ly/3Xl4r9O
* Terms & conditions apply","{'110036': 'Centaurus Mall Islamabad Branch', '348782': 'Giga Mall Islamabad Branch'}",True,false,false,Almirah,https://d2liqplnt17rh6.cloudfront.net/logoImages/almirahjpeg_734e4665-9d70-4dcf-a0e9-df5f3b51597f-165.jpeg,False,0,"{'isRedeemable': False, 'redeemableCount': 0, 'redeemedCount': 0}",,
90985,[''],FLAT 50% off on Entire Winter Collection,2023-01-10T18:16:00,2023-01-15T23:59:00,NONE,50,870,0,OUTLET,234588,https://d2liqplnt17rh6.cloudfront.net/dealImages/Deals_8c50b73e-c838-4b8d-b606-72f7f75db14a-353.jpeg,"* Flat 50% Off on the entire Winter collection!
* Grab your favorites now before they run out!!
* Live Online and In-stores
* https://outfitters.com.pk/
* Terms & Conditions apply","{'2879': 'G-9 Markaz Islamabad Branch', '2880': 'Margalla Plaza Islamabad Branch', '185227': ' Rana Market Islamabad Branch', '245808': 'Centaurus Mall 3rd Floor Islamabad Branch', '245811': 'Safa Gold Mall Islamabad Branch', '1154280': ' Mall of Islamabad Islamabad Branch', '1154283': 'WTC Giga Mall Islamabad Branch'}",True,false,false,Outfitters,https://d2liqplnt17rh6.cloudfront.net/logoImages/logoRecovered_ff2b4ed3-52b2-4bc6-9f19-31440fadda2a-363.jpeg,False,0,"{'isRedeemable': False, 'redeemableCount': 0, 'redeemedCount': 0}",,
90981,[''],FLAT 50% off,2023-01-10T18:00:00,2023-01-15T23:59:00,NONE,50,810,0,OUTLET,234588,https://d2liqplnt17rh6.cloudfront.net/dealImages/Deals_1796a4ae-786b-4c2f-a3b3-7f714241181a-306.jpeg,"* The Year Most Awaited Sale Started Now
* Flat 50% Off, Shop Online https://cherryberrystores.com/
* Terms & Conditions apply",{},True,false,false,CherryBerry,https://d2liqplnt17rh6.cloudfront.net/logoImages/435cd606-d655-4ee7-94aa-2586dbc760d5-462.jpg,False,0,"{'isRedeemable': False, 'redeemableCount': 0, 'redeemedCount': 0}",,
90979,[''],UP TO 50% off,2023-01-10T17:53:00,2023-01-15T23:59:00,NONE,50,763,0,OUTLET,234588,https://d2liqplnt17rh6.cloudfront.net/dealImages/Deals_989c3280-ac73-4854-a7ba-b7f11d6ce9b3-280.jpeg,"* It's Time to Shop Your Favorite Articles at Amazing Discounts During Royal Tag's Winter Clearance Sale
* Shop Style and Sophistication at Flat 50%, 30%, and 20% Off
* Fresh Arrivals Not Included
* Head to Our Stores or Shop Online at https://royaltag.com.pk/
* Terms & Conditions apply","{'2185': 'Safa Gold Mall Islamabad Branch', '36423': 'Centaurus Mall Islamabad Branch', '101618': 'Giga Mall Islamabad Branch'}",True,false,false,Royal Tag,https://d2liqplnt17rh6.cloudfront.net/logoImages/LogoRecovered_3d0487d4-6ad4-49f4-9284-91776f77494e-712.jpeg,False,0,"{'isRedeemable': False, 'redeemableCount': 0, 'redeemedCount': 0}",,
90978,[''],UP TO 40% off,2023-01-10T17:41:00,2023-01-15T23:59:00,NONE,40,4754,0,OUTLET,234588,https://d2liqplnt17rh6.cloudfront.net/dealImages/Deals_635b7e2e-de31-43a9-ab02-a5745747e8b2-726.jpeg,"* Our most awaited Winter Sale is live
* Enjoy Up to 40% Off on winter apparel, shoes and accessories for your kids
* In stores & online https://bachaaparty.com/
* Terms & Conditions apply",{},True,false,false,Bachaa Party,https://d2liqplnt17rh6.cloudfront.net/logoImages/b821148d-07b4-46ed-91d1-85d0507b499d-400.jpeg,False,0,"{'isRedeemable': False, 'redeemableCount': 0, 'redeemedCount': 0}",,
90977,[''],FLAT 50% off on New Arrivals,2023-01-10T17:35:00,2023-01-15T23:59:00,NONE,50,59600,0,OUTLET,234588,https://d2liqplnt17rh6.cloudfront.net/dealImages/Deals_31d00f2a-4d7a-420d-8db9-25d351ee44ac-676.jpeg,"* Season End Sale
* Flat 50% Off on New Arrivals
* Shop at https://znbeyond.com/
* Terms & Conditions apply",{},True,false,false,Zero & Beyond,https://d2liqplnt17rh6.cloudfront.net/logoImages/logo2_623cdd40-13fd-4855-ad59-8b443ec5f043-463.jpeg,False,0,"{'isRedeemable': False, 'redeemableCount': 0, 'redeemedCount': 0}",,
